PM0021131	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG CO.	495 S. 107TH	TOLLESON	AZ	85353	MARICOPA	AC6788890	CHAIN PHARMACY	ARIZONA CVS STORES, L.L.C.	DBA: CVS/PHARMACY  # 09218	1137 S. DOBSON RD #10	null	MESA	AZ	85202	MARICOPA	S	9143	59011046010	OXYCODONE	3.0	null	null	120685079	null	null	05112012	16.137	300.0	1205033441	OXYCONTIN 60MG OXYCODONE HCL CR TABL	OXYCODONE HYDROCHLORIDE	TAB	1.5	Purdue Pharma LP	Purdue Pharma LP	McKesson Corporation	60.0
RD0108200	DISTRIBUTOR	CARDINAL HEALTH	null	11 CENTENNIAL DRIVE	null	PEABODY	MA	1960	ESSEX	BC4408565	CHAIN PHARMACY	CONNECTICUT CVS PHARMACY, L.L.C.	DBA: CVS/PHARMACY  # 00145	330 MAIN STREET	null	FARMINGTON	CT	6032	HARTFORD	S	9143	00591082401	OXYCODONE	1.0	null	null	062496815	null	0000	09062006	0.672375	100.0	609010973	OXYCODONE.HCL/APAP TABLETS, 7.5MG/50	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Allergan, Inc.	Cardinal Health	7.5
PS0001723	DISTRIBUTOR	SMITH DRUG COMPANY	null	DIVISION JM SMITH CORP	9098 FAIRFOREST ROAD	SPARTANBURG	SC	29301	SPARTANBURG	AC6343862	RETAIL PHARMACY	CASH & HENDERSON DRUGS INC	null	102 SOUTH ALABAMA AVENUE	null	CHESNEE	SC	29323	SPARTANBURG	S	9143	59011010710	OXYCODONE	2.0	null	null	07X000062	null	null	07272007	14.344000000000001	200.0	709073065	OXYCONTIN - 80MG OXYCODONE.HCL CONTR	OXYCODONE HYDROCHLORIDE	TAB	1.5	Purdue Pharma LP	Purdue Pharma LP	Smith Drug Company	80.0
PR0003032	DISTRIBUTOR	ROCHESTER DRUG CO-OPERATIVE INC	null	50 JETVIEW DRIVE	null	ROCHESTER	NY	14624	MONROE	FJ0118302	RETAIL PHARMACY	J.R. APOTHECARY, LLC, D/B/A  GANANDA PHARMACY	null	1205 MAYBERRY PLACE	null	MACEDON	NY	14502	WAYNE	S	9193	00603388721	HYDROCODONE	2.0	null	null	null	null	0000	12102007	1.2108	200.0	4457	HYDROCODONE.BIT./ACET.,10MG & 325MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Rochester Drug Co-Operative Inc	10.0
RW0204026	DISTRIBUTOR	WALGREEN CO	null	DBA: WALGREEN WAREHOUSE	2370 E MAIN STREET	WOODLAND	CA	95776	YOLO	BW8505351	CHAIN PHARMACY	WALGREEN ARIZONA DRUG CO.	DBA: WALGREENS # 07463	525 W VALENCIA ROAD	null	TUCSON	AZ	85706	PIMA	S	9143	10702005601	OXYCODONE	2.0	null	null	124768564	null	null	11062012	1.7930000000000001	200.0	93997	OXYCODONE HCI 10MG TABLETS USP	OXYCODONE HYDROCHLORIDE	TAB	1.5	KVK-Tech, Inc.	KVK-Tech, Inc.	Walgreen Co	10.0
PR0040357	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG CO	2975 EVERGREEN DR	DULUTH	GA	30096	GWINNETT	BR8205418	CHAIN PHARMACY	ECKERD CORPORATION	RITE AID #11401	7505 LOUISBURG ROAD.	null	RALEIGH	NC	27616	WAKE	S	9143	00378710801	OXYCODONE	1.0	null	null	113962745	null	null	09212011	0.8965	100.0	1109008505	OXYCODONE HCL/ACETAMINOPHEN 10MG/650	OXYCODONE HYDROCHLORIDE	TAB	1.5	Mylan Pharmaceuticals, Inc.	Mylan Pharmaceuticals, Inc.	McKesson Corporation	10.0
RW0231908	DISTRIBUTOR	CARDINAL HEALTH	null	2353 PROSPECT DR	null	AURORA	IL	60502	DUPAGE	BD8530493	RETAIL PHARMACY	SSM HEALTH PHARMACY	null	1821 SOUTH STOUGHTON RD	SUITE 300	MADISON	WI	53716	DANE	S	9143	59011041010	OXYCODONE	1.0	null	null	12XC00060	null	null	04172012	0.8965	100.0	1204064734	OXYCONTIN 10MG OXYCODONE HCL CR TABL	OXYCODONE HYDROCHLORIDE	TAB	1.5	Purdue Pharma LP	Purdue Pharma LP	Cardinal Health	10.0
RH0389773	DISTRIBUTOR	HBC SERVICE COMPANY	DIV. OF GIANT EAGLE, INC.	601A MEADOWLANDS BOULEVARD	null	WASHINGTON	PA	15301	WASHINGTON	BG6825965	CHAIN PHARMACY	GIANT EAGLE PHARMACY #4098	null	351 CENTER ST	null	CHARDON	OH	44024	GEAUGA	S	9193	00603388621	HYDROCODONE	1.0	null	null	null	null	null	01172011	0.6054	100.0	4930	HYDROCODONE BITARTRATE AND ACETA 10M	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	HBC Service Company	10.0
RR0236073	DISTRIBUTOR	RITE AID MID-ATLANTIC	null	CUSTOMER SUPPORT CENTER	601 CHELSEA ROAD	ABERDEEN	MD	21001	HARFORD	BP2322953	CHAIN PHARMACY	PDS- 1 MICHIGAN, INC.	RITE AID #4574	2910 PINE GROVE AVENUE	null	PORT HURON	MI	48060	SAINT CLAIR	S	9193	00406036005	HYDROCODONE	5.0	null	null	null	null	null	04172007	11.35125	2500.0	21733	HYDROCODO.BIT/APAP 7.5MG/750MG USP T	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	SpecGx LLC	Mallinckrodt	Rite Aid	7.5
RW0282145	DISTRIBUTOR	WAL-MART PHARMACY WHSE #45	null	2250 NORTH 8TH STREET	SUITE 102-A	ROGERS	AR	72756	BENTON	BW0126931	CHAIN PHARMACY	WAL-MART PHARMACY 10-0797	null	324 WEST AGENCY ROAD	null	WEST BURLINGTON	IA	52655	DES MOINES	S	9143	00406051201	OXYCODONE	15.0	null	null	122960957	null	null	09192012	6.72375	1500.0	1209105028	OXYCODONE HCL/ACETAMINOPHEN 5MG/325M	OXYCODONE HYDROCHLORIDE	TAB	1.5	SpecGx LLC	Mallinckrodt	Wal-Mart	5.0
RA0289062	DISTRIBUTOR	AMERISOURCEBERGEN DRUG CORP	null	24903 AVENUE KEARNY	null	VALENCIA	CA	91355	LOS ANGELES	FP0259677	RETAIL PHARMACY	PERSONS COMPOUNDING PHARMACY, INC.	DBA PERSONS COMPOUNDING PHARMACY	812 N. GLENDALE AVE	null	GLENDALE	CA	91206	LOS ANGELES	S	9143	59011010010	OXYCODONE	1.0	null	null	101510295	null	null	04152010	0.8965	100.0	16892	OXYCONTIN - 10MG OXYCODONE.HCL CONTR	OXYCODONE HYDROCHLORIDE	TAB	1.5	Purdue Pharma LP	Purdue Pharma LP	AmerisourceBergen Drug	10.0
