RA0326276	DISTRIBUTOR	AMERISOURCEBERGEN DRUG	null	11200 NORTH CONGRESS AVENUE	null	KANSAS CITY	MO	64153	PLATTE	AD3810529	RETAIL PHARMACY	DRYDEN	null	DRYDEN DRUG COMPANY	401 MAIN ST	BELTON	MO	64012	CASS	S	9143	00591350301	OXYCODONE	2.0	null	null	070327045	null	null	03072007	7.172000000000001	200.0	35491	OXYCODONE HCL 40MG TABS	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Allergan, Inc.	AmerisourceBergen Drug	40.0
RC0347725	DISTRIBUTOR	CVS PHARMACY INC	null	777 S HARBOR BLVD	SUITE D-152	LA HABRA	CA	90631	ORANGE	BC7874399	CHAIN PHARMACY	GARFIELD BEACH CVS, L.L.C.	DBA: CVS/PHARMACY  # 09794	5200 N UNIVERSITY PARKWAY	null	SAN BERNARDINO	CA	92407	SAN BERNARDINO	S	9193	00406036005	HYDROCODONE	1.0	null	null	null	null	null	10292007	2.27025	500.0	48737	HYDROCODO.BIT/APAP 7.5MG/750MG USP T	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	SpecGx LLC	Mallinckrodt	CVS	7.5
RC0182080	DISTRIBUTOR	CARDINAL HEALTH	null	2045 INTERSTATE DRIVE	null	LAKELAND	FL	33805	POLK	BC5286819	CHAIN PHARMACY	HOLIDAY CVS, L.L.C.	DBA: CVS/PHARMACY  # 03145	5886 CONROY RD.	null	ORLANDO	FL	32835	ORANGE	S	9143	52152021502	OXYCODONE	3.0	null	null	073249553	null	0000	12072007	8.0685	300.0	712018699	OXYCODONE HYDROCHLORIDE USP 30MG TAB	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Allergan, Inc.	Cardinal Health	30.0
PW0211158	DISTRIBUTOR	WALGREEN CO	null	DBA WALGREENS	4400 STATE RD 19	WINDSOR	WI	53598	DANE	BB6168086	CHAIN PHARMACY	BOND DRUG COMPANY OF ILLINOIS, L.L.C.	DBA: WALGREENS # 04542	5625 N. RIDGE AVE	null	CHICAGO	IL	60660	COOK	S	9193	00074197314	HYDROCODONE	2.0	null	null	null	null	0000	12312007	0.9081	200.0	13261	VICODIN ES TABLETS 7.5MG HYDROCODONE	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	AbbVie Inc.	AbbVie Inc.	Walgreen Co	7.5
RE0228242	DISTRIBUTOR	ECKERD CORPORATION #1999	null	1776 STATESVILLE AVENUE	null	CHARLOTTE	NC	28206	MECKLENBURG	BR5311131	CHAIN PHARMACY	EDC DRUG STORES, INC.	RITE AID #11654	915 ANDERSON STREET	null	PIEDMONT	SC	29673	GREENVILLE	S	9193	00591034905	HYDROCODONE	1.0	null	null	null	null	null	06292007	1.5135	500.0	5149	HYDROCODONE BIT 5MG/ACETAMINOPHEN 50	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Actavis Pharma, Inc.	Allergan, Inc.	Eckerd Corporation	5.0
RW0165731	DISTRIBUTOR	WAL-MART PHARMACY WAREHOUSE	null	#28	801 COR-DA BOULEVARD	CRAWFORDSVILLE	IN	47933	MONTGOMERY	BW9682673	CHAIN PHARMACY	WAL-MART PHARMACY 10-3435	null	1133 NORTH EMERSON ROAD	null	GREENWOOD	IN	46143	JOHNSON	S	9193	00406036601	HYDROCODONE	1.0	null	null	null	null	null	12112007	0.45405	100.0	712021879	HYDROCODONE BIT/ACETA 7.5MG/325MG US	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	SpecGx LLC	Mallinckrodt	Wal-Mart	7.5
RA0322824	DISTRIBUTOR	AMERISOURCEBERGEN DRUG	null	1001 WEST TAYLOR ROAD	null	ROMEOVILLE	IL	60446	WILL	BL7189524	RETAIL PHARMACY	MARSH DRUGS, LLC #7328	null	MARSH DRUGS LLC #7328	1900 NORTH WALNUT STREET	MUNCIE	IN	47303	DELAWARE	S	9193	00591038705	HYDROCODONE	1.0	null	null	null	null	null	01022007	2.27025	500.0	9484	HYDROCODONE BITARTRATE 7.5MG/ACETAMI	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Actavis Pharma, Inc.	Allergan, Inc.	AmerisourceBergen Drug	7.5
RW0231908	DISTRIBUTOR	CARDINAL HEALTH	null	2353 PROSPECT DR	null	AURORA	IL	60502	DUPAGE	AD6905600	RETAIL PHARMACY	MAIN STREET PHARMACY & GIFTS	null	387 NORTH MAIN STREET	null	WATERVLIET	MI	49098	BERRIEN	S	9193	00406036005	HYDROCODONE	1.0	null	null	null	null	0000	04182007	2.27025	500.0	704039171	HYDROCODO.BIT/APAP 7.5MG/750MG USP T	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	SpecGx LLC	Mallinckrodt	Cardinal Health	7.5
RW0277752	DISTRIBUTOR	WALGREEN CO	null	15998 WALGREENS DRIVE	null	JUPITER	FL	33478	PALM BEACH	AW8428890	CHAIN PHARMACY	WALGREEN OF PUERTO RICO, INC.	DBA: WALGREENS # 00380	CARR 167 KM 18.8 URB REXVILLE	null	BAYAMON	PR	956	BAYAMON	S	9143	00591082501	OXYCODONE	2.0	null	null	063934312	null	0000	02282007	1.7930000000000001	200.0	24500	OXYCODONE.HCL 10MG / APAP 650MG TABL	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Allergan, Inc.	Walgreen Co	10.0
RC0318128	DISTRIBUTOR	CVS ORLANDO FL DISTRIBUTION	null	LLC	8201 CHANCELLOR DRIVE	ORLANDO	FL	32809	ORANGE	BC5277632	CHAIN PHARMACY	HOLIDAY CVS, L.L.C.	DBA: CVS/PHARMACY  # 03619	36440 STATE ROAD 54	null	ZEPHYRHILLS	FL	33541	PASCO	S	9193	00406036601	HYDROCODONE	1.0	null	null	null	null	null	05052007	0.45405	100.0	18136	HYDROCODONE BIT/ACETA 7.5MG/325MG US	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	SpecGx LLC	Mallinckrodt	CVS	7.5
